clicked_news	category	subcategory	title
N2408	nyheter	sortrondelag	Kjørte sakte på grunn av dårlig føre på E39
N2412	nyheter	adressa noogda	Adressa-glimt fra 1977
N2413	No category	No subcategory	Om få dager innføres den nye boliglånsforskriften
N2415	nyheter	nordtrondelag	Skal bidra med 2,3 millioner rognkjeks i kampen mot lakselus
N2416	nyheter	trondheim	Får starte 2017 i sitt eget hjem
N2417	nyheter	trondheim	Trondheim parkering tok raskt grep etter at det kom en klage
N2418	No category	No subcategory	E6 Åsen
N2421	nyheter	nordtrondelag	Mann hang fast etter bil i Verdal
N2423	No category	No subcategory	Slik pusser du opp badet uten fliser
N2424	nyheter	okonomi	Posten flytter fra Sluppen
N2432	pluss	okonomi	Nå åpner City Syd sin «nye» etasje
N2438	100sport	fotball	Nå får Ørn-treneren igjen nattesøvnen
N2443	nyheter	trondheim	Sponset sushi havnet på bursdagsfest
N2445	pluss	meninger	I Tyrkia har 2017 startet slik fjoråret sluttet
N2446	No category	No subcategory	Vestre kanalhavn, Trondheim
N2447	No category	No subcategory	Trondheim, fra havna mot Munkholmen
N2454	nyheter	trondheim	Telefonstorm til politiet etter jordskjelv
N2458	No category	No subcategory	Skistua, Trondheim
N2459	No category	No subcategory	E6 Horg
N2461	pluss	nyheter	TrønderTaxi vinner kampen om passasjerene
N2463	No category	No subcategory	Minneord: Jon G. Hofstad
N2468	nyheter	sortrondelag	«Det vil ta tid før dere klarer å innrømme at dere har en sønn som er homo.»
N2469	pluss	okonomi	Boligselger må punge ut for å ha krysset av feil om oppussing
N2471	nyheter	nordtrondelag	Ordfører Ivar Vigdenes med brakvalg i Stjørdal
N2472	nyheter	trondheim	Derfor står det en klynge med juletrær i vannet ved Solsiden
N2473	nyheter	sortrondelag	Oppdalsmat på TV i USA
N2476	100sport	fotball	- Bradley hadde vært et scoop for Norge, men det skjer nok ikke
N2477	No category	No subcategory	Sjekk på visning: - Ikke la deg blende av flott kunst på veggene
N2479	100sport	fotball	Forren er fortsatt aktuell for Rosenborg
N2482	nyheter	okonomi	Denne bygården er til salgs for 75 millioner kroner
N2483	pluss	magasin	Test deg selv i vår julequiz - vinn 2500 kroner
N2484	pluss	okonomi	- Det er vanlig å tape på boligsalg i Trondheim
N2490	nyheter	trondheim	Siste sang for Carl Johan
N2492	pluss	meninger	Gikk du glipp av romjulssalget? Frykt ikke, tidenes januarsalg er her. Igjen
N2494	pluss	nyheter	Vemodig å selge familiebedriften som faren grunnla for 79 år siden
N2495	100sport	fotball	Bjørnebye har jaktet ny RBK-midtstopper fra hytta på Trysil
N2499	No category	No subcategory	Minneord: Torleif Engan
N2501	nyheter	nordtrondelag	Seks personer i hus som brant i Verdal
N2502	pluss	nyheter	Ut med Nyfiken, inn med restaurantkjede
N2503	100sport	vintersport	Ett skritt nærmere ny skifest i Granåsen
N2504	No category	No subcategory	E6 Korporal Bru, Sokndal
N2505	nyheter	sortrondelag	Jordras over vei i Melhus
N2506	nyheter	innenriks	NHO vil fjerne mastergrader
N2507	pluss	nyheter	Trondheim Stasjonssenter vil samle alt i ett
N2509	pluss	kultur	Dette er årets beste bøker
N2510	No category	No subcategory	Millionene fosset inn for Bjørn (42)
N2512	pluss	kultur	Årets morsomste film er tysk
N2514	No category	No subcategory	- Jeg skal ikke lage mat i mitt eget bryllup
N2525	pluss	magasin	Munkegata 1960 og 2016
N2526	nyheter	sortrondelag	Her går det fra natt til dag på ett sekund
N2528	No category	No subcategory	Nå kan Telenor-kunder med Iphone ringe uten mobildekning
N2530	No category	No subcategory	Brimi og Hjeltnes lanserer trønderske matkasser
N2537	No category	No subcategory	Minneord: Terje Bostad
N2540	No category	No subcategory	Leiligheten deres er ubeboelig - siden mars har familien på tre bodd 14 forskjellige steder
N2542	nyheter	sortrondelag	Nå kommer de nye fotoboksene
N2543	No category	No subcategory	Gjør et midtvinterskupp til varmere strøk
N2549	nyheter	nordtrondelag	Flere lurer seg unna gjennomsnittsmålingen
N2550	No category	No subcategory	Dette blir de to neste interkontinentale rutene fra Norge
N2552	nyheter	trondheim	Tryggere å kjøre mellom Trondheim og Stjørdal
N2554	No category	No subcategory	Fire fylker i Sør-Norge satte varmerekord for desember
N2555	pluss	magasin	Øya med sykehuset 1925 og 2016
N2556	pluss	magasin	Før og nå: Da Hornemannsgården var politistasjon
N2560	pluss	magasin	Før og nå: Se Vår Frue kirke i vinterdrakt for 50 år siden
N2561	pluss	magasin	Da Brattørgata snødde ned
N2563	pluss	magasin	Tavern før og nå
N2571	pluss	meninger	Fugleøy ved Munkholmen er et spennende prosjekt
N2572	No category	No subcategory	Reiseekspertenes tips til hvor du bør reise i 2017
N2576	tema	arets tronder	De fikk Bruce til byen
N2578	No category	No subcategory	Minneord: Jim Aage Nøttestad
N2579	No category	No subcategory	Stor test av julebrus 2016
N2582	nyheter	trondheim	Store trafikale problemer etter to ulykker i Trondheim
N2585	nyheter	okonomi	Tjente seg søkkrik på tomtesalg i Levanger
N2588	No category	No subcategory	Else bor på 12 m2 i Estenstadmarka
N2593	nyheter	trondheim	Trondheimskokken Renee Fagerhøi gikk helt til topps
N2597	No category	No subcategory	Apollo kutter ut charterturer til Tyrkia
N2598	No category	No subcategory	Gjenskaper «Skam» med Barbie-dukker på Instagram
N2602	nyheter	nordtrondelag	- Jeg fikk svingt unna i siste liten
N2603	nyheter	nordtrondelag	Trafikkulykke på E14
N2604	nyheter	nordtrondelag	Har måttet stenge Værnes sju-åtte ganger i løpet av tirsdag
N2605	pluss	nyheter	Misliker plassering av bydelsbasseng
N2607	pluss	kultur	Her skal Top Chef-vinner Reneé åpne restauranten «Bula»
N2612	No category	No subcategory	Dobler antall avganger på etterlengtet rute fra Værnes
N2614	pluss	nyheter	Slik takler folk i Trondheim det store snøfallet
N2621	nyheter	trondheim	Tran dømt til fengsel
N2622	nyheter	trondheim	Trikk mot bil i Ila
N2626	forbruker	hjem	Moderne sveis på gammelhuset
N2631	nyheter	trondheim	Flere stryker når de kjører opp til lappen
N2632	nyheter	sortrondelag	Lastebil i utforkjøring i Rissa
N2636	nyheter	okonomi	Reitan etablerer ny bensinstasjonkjede
N2638	No category	No subcategory	Dette er verdens verste flyplasser
N2645	pluss	magasin	Kjenner du igjen denne strekningen i Trondheim?
N2646	pluss	magasin	Før og nå: Den gang det var stor trafikk i Vollabakken
N2656	100sport	vintersport	Hegle Svendsens bryllup må vente til etter OL i 2018
N2664	No category	No subcategory	Minneord: Johan Stølan
N2668	pluss	okonomi	Vil svare politiet om tette bånd til Nummeropplysninga
N2671	nyheter	sortrondelag	Må punge ut etter å ha vært overlastet med søppel
N2672	pluss	meninger	Ulven er dessverre det rene villdyret
N2674	pluss	magasin	I 1972 ble Jernbanebrua til en lokal «sukkenes bro»
N2675	pluss	kultur	Dataspill er verst på kino
N2677	No category	No subcategory	Mobbegeneral, Nav-sjef og dekan vil bli kommunalsjefer
N2680	nyheter	trondheim	Innfører parkeringsregler ved City Syd
N2686	nyheter	trondheim	Nå kan ikke politiet lenger garantere deg hjelp på flyplassen
N2687	nyheter	trondheim	800 bøtelagt for piggdekkbruk
N2689	pluss	okonomi	Tøft Rema-år er bakteppe for «Æ»
N2692	nyheter	trondheim	Økonomene vant i NTNU-styret
N2699	nyheter	nordtrondelag	Vogntog av veien på E6
N2700	nyheter	trondheim	FBI-tips førte til dom mot trondheimslærer
N2702	pluss	magasin	Se hvordan det så ut i 1984
N2703	nyheter	sortrondelag	Sprengstoffsiktet løslatt av retten - politiet anket
N2707	No category	No subcategory	Her er Kakekrigen-Tronds beste baketips
N2710	100sport	vintersport	Suksesstreneren ble lei seg da Kalla brøt ut
N2716	nyheter	nordtrondelag	Nå er Haga utnevnt til Ridder av 1.klasse
N2717	No category	No subcategory	- Skummelt med så mye lån
N2719	meninger	ordetfritt	Nå er smertegrensa nådd for hva vi klarer å betale. Da blir vår sønn enda en som blir utestengt fra idretten
N2723	meninger	ordetfritt	Fotballen oppleves til tider som et stort pyramidespill, der barneidretten er et endeløst mas etter mer dugnad
N2724	forbruker	hjem	Dette bygget viser hensyn
N2727	No category	No subcategory	Ja, du kan gjøre gode kjøp i romjulen
N2729	nyheter	trondheim	- Transporten var ikke vårt ansvar
N2734	meninger	ordetfritt	Hva mener de med å selge denne tynne suppen som yoghurt?
N2735	nyheter	sortrondelag	- Vi ble skjelvne, begge to
N2737	pluss	meninger	Tiden varer lenger uten digital stimuli
N2738	nyheter	okonomi	- Jeg tror ikke vi kan ligge så lavt så lenge
N2739	No category	No subcategory	Mener Ola Borten Moe går imot eget parti i oljesaken
N2740	pluss	magasin	Kjære, jeg forgiftet katta
N2741	nyheter	sortrondelag	Nytt liv for Budalsmøbler
N2742	100sport	fotball	- Jeg så alltid for meg at jeg skulle bli en fotballmamma. En ordentlig heie-mamma. Jeg er blitt en heie-mamma, men innen noe annet i stedet.
N2745	nyheter	sortrondelag	- Influensa-toppen kan komme til jul
N2746	nyheter	sortrondelag	Spilte inn porno i Bymarka
N2749	meninger	ordetfritt	Folk svever fremdeles i den villfarelsen at de eier sine barn
N2750	No category	No subcategory	Hele interiøret er gjenbruk: - Jeg får vondt i hjertet når gamle ting kastes
N2752	nyheter	trondheim	Disse cruiseskipene kommer til Trondheim i 2017
N2753	nyheter	trondheim	- Du skal måke fortauet utenfor huset ditt
N2754	No category	No subcategory	Nå blir det flere «klineseter» i kinosalen
N2755	No category	No subcategory	Trønderske proffboksere på TV2
N2756	nyheter	trondheim	- Det holder ikke å sperre fortauet og vente på våren
N2757	nyheter	trondheim	Nedsnødde Trondheim
N2763	No category	No subcategory	Dette kan du binge i jula
N2767	No category	No subcategory	Kvinner reiser utenlands for å oppfylle babydrømmen med andres egg
N2768	No category	No subcategory	Ingen har løst gåten Arnfinn Nesset
N2775	nyheter	sortrondelag	Ladbare hybrider på sterk fremmarsj
N2776	nyheter	trondheim	Endret superbusskrav slik at bare én leverandør innfrir kravet
N2779	No category	No subcategory	«Alle» nordmenn kjenner en jente som heter dette
N2784	No category	No subcategory	Pusset opp 60-tallshus: Totalrenoverte og fikk mer lys, lavere strømregning og fasjonabel utsikt
N2786	100sport	fotball	Henriksen og Diomandes manager sparket
N2789	pluss	nyheter	Dette klarte ikke tobarnsmoren fra Trondheim for halvannet år siden
N2792	forbruker	hjem	Unngå fukt i kjelleren
N2793	nyheter	trafikkdoden	- Jentene gråt, gutta besvimte
N2802	pluss	okonomi	Designer luksus-skjerf med motiver fra Fosen
N2804	No category	No subcategory	Nå sliter ikke Pia Merethe ut tre juletrær før jul
N2805	No category	No subcategory	Renaults hyllest: Resten av verden bør lære av Norge
N2811	nyheter	trondheim	Mye snø på E6 og treg trafikk
N2812	nyheter	nordtrondelag	Politibil kjørte av veien og inn i et tre
N2813	No category	No subcategory	Kaldluftsutbrudd fra Arktis gir sprengkulde fra natt til torsdag
N2814	No category	No subcategory	63 drept av bjørn og ulv
N2815	pluss	nyheter	Flytter tilbake til skolen etter et halvt år i brakker på Brøset
N2816	nyheter	trondheim	- Her er det eksklusivt med snø
N2817	nyheter	nordtrondelag	Mange trafikkuhell over hele Trøndelag
N2818	nyheter	sortrondelag	- Ikke gode nok bevis
N2819	nyheter	trondheim	Fikk forelegg på 12 000 kroner etter voldsvideo – nå er saken henlagt
N2820	nyheter	sortrondelag	Kjørte videre etter kollisjon
N2821	nyheter	sortrondelag	Sju biler i trafikkulykke
N2823	100sport	vintersport	Finnene om Tour de Ski-løypa: - Dette er idiotisk og uverdig
N2827	No category	No subcategory	Reiseekspertenes tips til hvor du bør reise i 2017
N2828	pluss	kultur	Den viktigste stillheten er den inne i deg selv
N2830	No category	No subcategory	- Aldri, aldri, aldri ta med rumpetaske
N2831	No category	No subcategory	Slik pakker du kofferten effektivt
N2840	100sport	sjakk	Ekspert om Carlsen og Karjakin: - Sjokkerende
N2841	pluss	magasin	Kan Lademoen bli det nye Grünerløkka?
N2843	pluss	nyheter	Hjerneforsker advarer mot skrikekur
N2844	pluss	okonomi	Ber foreldre passe seg for hjelpsomhetsfella
N2852	No category	No subcategory	Slik bør du øvelseskjøre med ungdommene
N2859	pluss	meninger	Oppdretterne kan ikke alltid få det som de vil
N2864	nyheter	innenriks	Jubel og raseri etter regjeringens ulvemelding
N2866	100sport	vintersport	Tandes mamma fikk sponsorhjelp for å kunne følge sønnen lenger i hoppuka
N2868	100sport	andreidretter	Trøndersk e-sportstjerne blir med i unikt samarbeid: – Som om Rosenborg skulle sponset oss
N2869	pluss	nyheter	Superbuss: «På langt nær alt vil stå ferdig i 2019»
N2871	100sport	idrettspolitikk	1000 russiske utøvere i dopingskandale: Brukte salt og kaffe i urinprøvene
N2873	pluss	meninger	Kronikk: Trondheim skal være best på buss
N2874	nyheter	okonomi	Gründermilliardær kjøpte toppleilighet på Ranheim
N2875	No category	No subcategory	Hvor ofte må du bytte tak, kledning og drenere?
N2877	No category	No subcategory	Orkdalingen ble teknologimilliardær i New York
N2878	No category	No subcategory	Pirterminalen - hurtigbåtene, Trondheim
N2881	nyheter	nordtrondelag	Disse vil bli lensmann i Meråker og Frosta
N2883	nyheter	nordtrondelag	Ungdom får tilbake førerkort for å bli yrkessjåfør
N2885	nyheter	sortrondelag	Får bygge på hytte nær vernet vassdrag
N2886	nyheter	trondheim	Saktegående trafikk i Moholtlia
N2887	100sport	sprek	Ekspert: – Om du vil ned i vekt, er dette det første jeg anbefaler å kutte ut
N2891	nyheter	sortrondelag	Bygger E6 fra Ranheim til Åsen først
N2892	pluss	nyheter	- Superbusspassasjerene skal ikke stå som sild i tønne
N2896	No category	No subcategory	Slik gjør du unna vindusvaskingen så effektivt som mulig
N2897	pluss	meninger	Sju saker og tre personer som preget politikken i Trondheim i 2016
N2900	nyheter	trondheim	Vurderer å flytte fra Midtbyen
N2901	nyheter	okonomi	Teknologi-milliardær fra Orkdal vant internasjonal gründerpris
N2902	100sport	fotball	Slik brukte RBK-erne pengene fra botkassa
N2903	100sport	vintersport	«Skisportens drøm er andres skrekk»
N2906	nyheter	sortrondelag	Gratis å kjøre mellom Øysand og Thamshamn
N2908	nyheter	trondheim	Forlater brannstedet
N2909	nyheter	sortrondelag	- Gjevilvassdalen er så godt som død
N2911	nyheter	innenriks	Mann kritisk skadd i MC-ulykke i Akershus
N2913	100sport	sprek	Forskning: Denne styrketreningen gir dobbel effekt
N2921	migration catalog	kultur	Høyre vil etablere norsk «kulturkanon»
N2928	100sport	fotball	Fotballsupporternes opptrinn i Paris ble fordømt av statsministeren. Nå har de fått straffen sin.
N2929	pluss	nyheter	Sier nei til NTNU-utbygging i parken
N2930	pluss	nyheter	60 eiendommer kan bli tvangsdelt av ny superbusstrasé
N2931	nyheter	innenriks	Samtlige F-16 kan havne i Bodø
N2934	nyheter	trondheim	Trondheimslærer får pris for gjøre matte spennende
N2937	nyheter	innenriks	Statsrådskifte også i Høyre
N2938	pluss	meninger	«Det produseres mengder av svada om at campus skal være et godt sted å være for alle»
N2939	pluss	nyheter	De nye superbussene like trange som dagens leddbusser
N2942	pluss	magasin	Historisk bildeserie: Hva gjorde en kinesisk båt i Nidelva?
N2943	pluss	magasin	Historisk bildeserie: Trikk og tog i Trondheim
N2944	100sport	fotball	Rasmus&amp;Saga Julespesial: Det beste fra året som har gått
N2945	nyheter	sortrondelag	Her kommer Klett-tunnelen
N2950	100sport	ballsport	Sjekk det hardkjøret: Byåsen skal spille elleve kamper i løpet av fem uker
N2952	pluss	kultur	Makeløs hevn
N2955	100sport	vintersport	Fersk hoppdress gir 5-10 meter lengre hopp: - Det er helt sjukt
N2961	100sport	fotball	Denne bergenseren skal vise seg for eliteserieklubb
N2966	No category	No subcategory	Minneord: Jonas Skarsvåg Fossheim
N2968	nyheter	okonomi	Autronica flytter fra Lade
N2971	nyheter	sortrondelag	Lastebil mistet last med metallrør i veien
N2973	nyheter	okonomi	Nå har Rema avslørt hva Æ er
N2974	pluss	nyheter	Reagerer sterkt på usikkerhet om campus
N2975	nyheter	trondheim	Naboer har fryktet dårlig sikring
N2977	pluss	meninger	Vill vekst i boligpriser, men nesten ingen tør si de tre skumle ordene
N2981	nyheter	utenriks	Nå blir du bedt om å oppgi Facebook-kontoen din før innreise til USA
N2983	No category	No subcategory	Her er Samsungs nye super-TV-er
N2984	100sport	vintersport	For første gang i Touren mener ekspert at Sundby ikke er sammenlagtsfavoritt
N2985	No category	No subcategory	Forventer 20.000 nye produkter på verdens største elektronikkmesse
N2986	nyheter	nordtrondelag	Utforkjøring i Levanger
N2987	pluss	kultur	Sara Sølberg var fem dager isolert i Quislings bomberom
N2991	pluss	magasin	Rå pitbull, myk farmor
N2994	No category	No subcategory	Minneord: Tore Leistad
N2996	No category	No subcategory	Ny Xbox til Norge i august
N3000	nyheter	trondheim	- Alle fire er døråpnere for Trondheim
N3005	pluss	nyheter	Her kommer de første superbussholdeplassene
N3006	nyheter	sortrondelag	To vogntog har kollidert
N3009	100sport	sprek	Andreas (38) var deprimert og sov dårlig. En app endret alt.
N3010	pluss	magasin	Før og nå: Se Kjøpmannsgata i 1983 og 2016
N3012	No category	No subcategory	Har holdt seg unna både alkohol og tobakk
N3017	No category	No subcategory	Sjekk hvordan Tillerbyen så ut før kjøpesentrene kom
N3018	No category	No subcategory	Spiller inn ungdomsfilm på Bybrua og i Nidarosdomen
N3019	nyheter	trondheim	Fem pågrepet og tyvegods funnet etter bodinnbruddene på Byåsen
N3020	nyheter	innenriks	Her demonstrerer Høyre-profilene mot egen regjering
N3021	No category	No subcategory	Vassfjellet Skisenter
N3023	100sport	vintersport	Tande leder hoppuka etter dobbelt norsk: - Helt rått!
N3024	pluss	kultur	Utrolig, sann historie om bortkommen 5-åring i India
N3026	kultur	film	Eventyr fra slummen
N3029	100sport	vintersport	Norsk sjef tror Ustjugov kan dominere i 10 år
N3031	100sport	vintersport	Iversen varslet legen tre dager før kollapsen
N3032	nyheter	utenriks	Brende besøker Saudi-Arabia
N3034	pluss	meninger	Skolen har nok aldri vært så god som nå
N3036	No category	No subcategory	Minneord: Åse Børstad
N3037	100sport	fotball	RBK-unggutter på vei bort fra Lerkendal
N3038	pluss	meninger	Æ-en ble en nedtur
N3039	nyheter	okonomi	Rema vil gi deg færre merker å velge mellom
N3041	nyheter	innenriks	Politiet advarer mot dopapirsvindel flere steder
N3042	nyheter	sortrondelag	Buss kjørte av veien i Trondheim
N3043	No category	No subcategory	Ria Formosa - Europas svar på Karibia
N3044	nyheter	helse	Ti turforslag i Trondheim
N3046	No category	No subcategory	Denne boligen satte prisrekord i Melhus
N3047	100sport	vintersport	Gråtende Weng ba om unnskyldning til lagvenninnen
N3049	No category	No subcategory	All ære til Honor
N3053	100sport	fotball	Svensson kan ha spilt sin siste RBK-kamp, men en annen stjerne lover å bli
N3054	No category	No subcategory	- Ante at noe var galt
N3055	nyheter	sortrondelag	Klarer ikke avdekke falske kort
N3057	nyheter	innenriks	Advokat klager på henleggelsen av Drevland-saken
N3058	100sport	vintersport	Northug vil slå Bjørn Dæhlies ekstremrekord
N3060	kultur	tv	Vil heller være bølle enn bimbo
N3061	nyheter	sortrondelag	Er dette Trøndelags vakreste juletradisjon?
N3062	nyheter	trondheim	- De har forsynt seg med bager og fylt dem med merkevarer
N3064	100sport	vintersport	Svendsen om Fourcades Norge-stikk: – Det er ganske utrolig. Jeg forstår det ikke.
N3065	100sport	vintersport	Her er trenerens dom over Northug
N3066	nyheter	trondheim	Her har det åpnet ny snarvei
N3067	meninger	ordetfritt	Ja, jeg er sinna. Hvordan behandler Trondheim kommune sine eldre?
N3068	nyheter	trondheim	Brukte to timer på å rydde vei i Ila
N3070	No category	No subcategory	Visste de som vedtok 25 meter lange busser følgene av sitt eget vedtak?
N3071	100sport	fotball	Bob Bradley i Oslo. Bekrefter møte med NFF
N3072	nyheter	innenriks	Matkjedene overbyr hverandre i knallhard priskrig
N3073	nyheter	nordtrondelag	Meråkerbonde: - Respektløst. Et direkte overgrep.
N3076	nyheter	nordtrondelag	Oppretter ikke straffesak etter denne utforkjøringen
N3077	No category	No subcategory	Selbuskogen, Selbu
N3078	pluss	okonomi	Nav med eget forum for arbeidsløse oljeingeniører
N3079	No category	No subcategory	Hvilke biler er miljøvinnere i det lange løp?
N3086	100sport	idrettspolitikk	John Carew fronter e-post som truer kundene med gebyr: - Dette er ulovlig
N3090	No category	No subcategory	Rælingen - Byåsen
N3091	nyheter	sortrondelag	- Senk farten, det er glatt overalt
N3092	nyheter	trondheim	Trafikkuhell i Elgesetergate
N3094	nyheter	sortrondelag	Rørlegger Mari (29) deltar i ny ekstrem-reality
N3095	No category	No subcategory	Slik får du rustfritt stål til å skinne
N3102	forbruker	sexogsamliv	- Vent med sex, dropp leppestiften og senk kravene
N3105	100sport	meninger	Nyttårsønske for 2017: Kan vi få se flere kvinner som forstyrrer idyllen i Gutteklubben Grei?
N3109	nyheter	trondheim	Uskadd fra bilbrann
N3110	100sport	vintersport	Selvsikker Tande før avgjørelsen: - Jeg føler jeg hopper best av alle
N3111	nyheter	utenriks	Seks ulver skutt i Sverige
N3112	nyheter	innenriks	Strømrekord i 2016
N3113	No category	No subcategory	Eksklusivt hjemmehotell: Solgte alle møblene for å få hotellfølelsen hjemme
N3115	pluss	okonomi	Laksemilliardær Gustav Witzøe bygger stor villa for familien og representasjon
N3117	nyheter	trondheim	- Jeg hadde null kontroll
N3119	nyheter	innenriks	Bygninger ved Rondablikk Høyfjellshotell brant ned
N3120	No category	No subcategory	En usedvanlig imponerende smartmobil
N3121	100sport	sprek	Sliter du med sukkersuget? Slik blir du kvitt det
N3122	No category	No subcategory	Kaldeste natt på 52 år
N3123	forbruker	digital	De beste og dårligste bredbåndsleverandørene
N3124	No category	No subcategory	Nå er det igjen mulig å kjøpe billetter til Åge i Royal Albert Hall
N3125	pluss	meninger	Acem om økonomi og organisasjon
N3127	nyheter	trondheim	Fikk døråpner-pris
N3128	100sport	vintersport	Nå planlegger Norge VM-stafett uten Northug
N3132	nyheter	sortrondelag	180 asylsøkere til Malvik
N3134	meninger	ordetfritt	Det får da være grenser for dårlig planlegging ved kjøp av nye togvogner
N3137	pluss	kultur	Åge ble nervøs da Arve Tellefsen kom på scenen
N3138	nyheter	trondheim	- Personlig trener på Hit the gym ville at jeg skulle selge Herbalife-produkter
N3139	nyheter	okonomi	Slutt for Sportykids
N3140	nyheter	trondheim	Fikk kjempefisk i Trondheimsfjorden
N3141	nyheter	nordtrondelag	Kjørte ned jernbanebommer
N3142	nyheter	innenriks	Barnevernet i Trondheim får kritikk av Fylkesmannen
N3144	pluss	nyheter	- Overvik tilbød gratis skoletomt
N3146	pluss	nyheter	Da han kom tilbake fra alpinbakken så bilen slik ut
N3148	nyheter	trondheim	Tropenatt under åpen himmel
N3149	No category	No subcategory	Jackson Browne er trønder
N3152	nyheter	okonomi	Hun blir ny direktør ved Scandic Lerkendal
N3153	nyheter	trondheim	Skrinlegger p-hus under Torget
N3155	pluss	okonomi	Trondheimsbedrift i kraftig vekst: Nå omsetter de for over ti millioner og har 20 ansatte
N3157	No category	No subcategory	Bentley gjør bensinstasjoner overflødig
N3159	100sport	fotball	Fotballforbundet lyttet til Rosenborg: Utsetter kampen mot Viking
N3160	pluss	meninger	Ingen har rett til å lage sine egne klimafakta
N3161	No category	No subcategory	Nå kan du snart få lage personlige bilskilt
N3162	No category	No subcategory	Mini med ledning
N3164	omadresseavisen	arrangementer	Ut-Awards
N3168	pluss	nyheter	Acem-ledere brøt NTNU-regler
N3169	pluss	nyheter	Acems ledere forsker på Acem-meditasjon
N3170	forbruker	hjem	Ferdighus, men ikke helt ferdig
N3171	nyheter	trondheim	Tatt i 120 km/t i Strindheimtunnelen
N3172	No category	No subcategory	Avslutter skisesongen i Åre med musikkfestival
N3174	nyheter	trondheim	I dag får Tyholt ti nye enveiskjørte gater
N3175	pluss	nyheter	Her er Trondheims billigste treningssenter
N3181	nyheter	trondheim	«Vi ringes ned om glatte veia»
N3182	nyheter	trondheim	- Det føles umulig
N3183	No category	No subcategory	Nå siktes flere etter det dramatiske dødsfallet til Kris (56)
N3185	100sport	sprek	Slik unngår du å gå i smørefellen
N3186	pluss	meninger	Storhall på Nidarø er og blir en tabbe
N3187	nyheter	okonomi	Reinertsen selger seg ut av rådgivningsselskap
N3188	No category	No subcategory	Her spiser matministeren (Frp) kamskjell som er plukket ulovlig
N3189	100sport	ballsport	Vipers tapte toppkampen mot rivalene
N3190	pluss	nyheter	- Jobbet 16–18 timer om dagen
N3191	No category	No subcategory	Ordfører går i rette med kommunaldirektør om NTNU-campus
N3196	pluss	magasin	De døde mens de plukket kamskjell til verdens luksusrestauranter
N3198	nyheter	trondheim	Emilie (20) har Trøndelags råeste tatovering
N3199	meninger	kommentarer	Det motsatte problem
N3200	No category	No subcategory	85.000 følger hjemmet hennes på Instagram: - Jeg har virkelig fått drømmehjemmet
N3201	No category	No subcategory	Hjemme hos interiørkonsulenten: - Jeg må ha et hjem som kan brukes
N3202	No category	No subcategory	Mette Johnsen har med forundring fulgt med på at hjemmet hennes er blitt mer og mer trendy
N3208	No category	No subcategory	Fire veldig vanlige rengjøringstabber
N3211	nyheter	nordtrondelag	-Jeg er 90 prosent sikker på at valpen min er tatt av ulv
N3214	nyheter	trondheim	Vækteren Bistro ødelagt av brann
N3215	pluss	meninger	Å si at kristne julesanger fjernes, er tøv
N3216	nyheter	innenriks	Snusfornuftige råd mot huggorm
N3219	No category	No subcategory	Da setter vi over til Oslo
N3220	nyheter	nordtrondelag	Slåssing på fly på Værnes
N3222	nyheter	sortrondelag	Trodde stormen hadde ødelagt trær - viste seg å være kommunen
N3223	No category	No subcategory	Slik fikk de ny hytte med gammel sjel
N3224	pluss	meninger	Svarte penger, ikke svarte hetter
N3225	nyheter	trondheim	Her vil NTNU-styret bygge ut campus
N3230	nyheter	nordtrondelag	Nå vil den amerikanske hæren øve i Norge
N3233	nyheter	trondheim	- Leteaksjoner kan forvirre hunden
N3238	nyheter	trondheim	Gikk fra Instagram til ekte fotoutstilling
N3239	nyheter	innenriks	Fløy fast med ulykkesflyet
N3241	nyheter	dokument	Slaget på Kuhaugen og andre bydelskriger
N3242	No category	No subcategory	- Dette har vi ventet på i 20 år
N3245	nyheter	sortrondelag	Send inn dine stjerneskudd!
N3246	nyheter	okonomi	Her råder Harmonien
N3247	forbruker	hjem	En kran som lekker, fikser du på få minutter
N3251	nyheter	nordtrondelag	Hund vekket par da huset i Meråker begynte å brenne
N3254	No category	No subcategory	Syv billige ting du kan gjøre for å få en mer attraktiv bolig
N3258	nyheter	trondheim	Fant amfetamin på hotellrom i Trondheim
N3259	nyheter	nordtrondelag	Mann i tyveårene nektet å forlate legevakt og hotell
N3261	nyheter	okonomi	Boligprisene steg i desember
N3262	100sport	fotball	Norsk Tipping innrømmer: Noen stortapere spiller bort hundrevis av millioner
N3263	nyheter	innenriks	Lærerstudentene gjør det bedre på matteeksamen
N3264	nyheter	okonomi	Nå er denne bygården solgt
N3266	nyheter	nordtrondelag	Vogntog kjørte seg fast på E6
N3269	nyheter	sortrondelag	Pasient forteller om himmel og helvete på Brøset
N3270	No category	No subcategory	Nidarosdomen har hovedrollen i norsk variant av «Da Vinci-koden»
N3272	pluss	magasin	Se Innherredsveien for 50 år siden
N3273	pluss	magasin	Slik så Nedre Bakklandet ut for hundre år siden
N3274	pluss	magasin	Kristiansensbakken 1935 og 2016
N3275	pluss	magasin	Fjordgata 1963 og 2016
N3276	nyheter	trondheim	Roar ble satt ut da han fikk se piggdekk-gebyret
N3277	pluss	magasin	Se Torvet i 1960
N3278	nyheter	trondheim	Meglere bommet med millioner
N3281	No category	No subcategory	Mette og mannen snudde i døra på visning
N3282	nyheter	trondheim	Åpner treningssentre et steinkast fra hverandre
